group_id,entity_name,entity_value,image_path,extracted_text,unit
748919,item_weight,500.0,../images/subset_train/61I9XdN6OFL.jpg,"['1\nINGREDIENTMENAGER', '100%NATURELs', '00%']",gram
916768,item_volume,1.0,../images/subset_train/71gSRbyXmoL.jpg,"['4g', '4 LSS', '4 ', '4 J']",cup
459516,item_weight,0.709,../images/subset_train/61BZ4zrjZXL.jpg,"['1Tablet', '0.709gEachservingcontainsApprox', '200mg', '101 ', '100mg', '0.5%Bitters', '50mg', '1%', '25mg', '0.07%alkaloids', '25mg', '0.5%Bitters', '25mg', '10%Tannins', '25mg', '5%Glycyrrhizin', '25mg', '10mg', '100\nPipernigrumfruitextract', '95%Piperine', '3.04keal', '0.13\nCarbohydrate', '051g', '02g', '0.049 ', '0.07\nFat', '0.09g', '2010forsedentarylifestyleMen']",gram
459516,item_weight,0.709,../images/subset_train/612mrlqiI4L.jpg,['4gbBseecenee'],gram
731432,item_weight,1400,../images/subset_train/617Tl40LOXL.jpg,"['1 ', '40 fe', '7\nEse']",milligram
731432,item_weight,1400,../images/subset_train/61QsBSE7jgL.jpg,"['1400mg', '1400,', '365vscaul']",milligram
731432,item_weight,1400,../images/subset_train/81xsq6vf2qL.jpg,"['2vegancapsules', '1400mg', '1 seetheingredientsinbold', '220mloffluids', '1 ', '4 M', '1.5hoursoftakingmedication', '2 Sweetener', '3 ', '6 ', '5 VEGAN', '8VEGANS', '3 HU', '16790C']",milligram
731432,item_weight,1400,../images/subset_train/71DiLRHeZdL.jpg,"['1400ne', '365o', '8,\n', '1 ', '5 OF']",milligram
731432,item_weight,1400,../images/subset_train/91Cma3RzseL.jpg,"['100%', '10 e', '4 S', '7s']",milligram
731432,item_weight,1400,../images/subset_train/71jBLhmTNlL.jpg,"['6\n', '10 Horbaach']",milligram
149159,item_weight,30.0,../images/subset_train/81N73b5khVL.jpg,"['77\nGroke', '48DasMaterialist', '5mm', '30KG', '32 aufnehmen']",kilogram
308856,item_weight,10 kilogram to 15,../images/subset_train/61oMj2iXOuL.jpg,"['13cm', '2cm', '25cm', '55cm', '1 ', '12cm', '13cm', '14cm', '15cm', '16cm', '10kg', '1015kg', '1525kg', '2545kg', '45kg']",kilogram
281678,item_weight,3.53,../images/subset_train/91LPf6OjV9L.jpg,"['5 e', '4 Fy', '4 a', '4\nfi', '4\nuh', '4\n', '1BASEDY', '7 ', '44\n', '4 cS', '54 Ss', '5 S', '3 ', '4\npi', '2 g', '16NSee', '4ears', '4f']",ounce
281678,item_weight,3.53,../images/subset_train/81fOxWWWKYL.jpg,"['2 ', '5 PORGANICS', '34 P', '4COMBATSDISEASES']",ounce
281678,item_weight,53,../images/subset_train/81dzao1Ob4L.jpg,"['2 ', '7 FS', '29 Nee', '3\nioe', '00013 oc', '12ecfvoyinide', '1betterlifestorts', '2 NutritionalFacts', '159 BSERahiye', '09 IIA', '5 X', '3 Bae', '38Ml', '63,Block', '63,Noide', '2monthsaferopeningthepocke', '100g', '2.53o', '2\nForcustomerfeedbackS', '282 ', '5307\niaaceremcanliacckreis', '93.530\nInithonblgopic', '3,\noabvcaimtetmicntsreisecaeUSEBY', '2 i']",ounce
281678,item_weight,100,../images/subset_train/91-iahVGEDL.jpg,"['7\nXDoesnot', '4 A', '000\n', '7 f', '35%', '7 GREENTEA', '2a', '28 ']",gram
